1,The Outsiders,200,TRUE,014240733X.01._SCLZZZZZZZ_SX500_.jpg,S. E. Hinton,Fiction,The Outsiders is a dramatic and enduring work of fiction that laid the groundwork for the YA genre. S. E. Hinton's classic story of a boy who finds himself on the outskirts of regular society remains as powerful today as it was the day it was first published.
2,Malibu Rising: A Novel,150,FALSE,1524798657.01._SCLZZZZZZZ_SX500_.jpg,Taylor Jenkins Reid,Fiction,Malibu Rising is a story about one unforgettable night in the life of a family: the night they each have to choose what they will keep from the people who made them . . . and what they will leave behind.
3,Where the Crawdads Sing,230,TRUE,0735219109.01._SCLZZZZZZZ_SX500_.jpg,Delia Owens,Fiction,"Where the Crawdads Sing is at once an exquisite ode to the natural world, a heartbreaking coming-of-age story, and a surprising tale of possible murder. Owens reminds us that we are forever shaped by the children we once were, and that we are all subject to the beautiful and violent secrets that nature keeps."
4,The Alchemist,250,FALSE,0062315005.01._SCLZZZZZZZ_SX500_.jpg,Paulo Coelho,Fiction,"Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different?and far more satisfying?than he ever imagined. Santiago's journey teaches us about the essential wisdom of listening to our hearts, of recognizing opportunity and learning to read the omens strewn along life's path, and, most importantly, to follow our dreams."
5,We Were Never Here,380,FALSE,198482046X.01._SCLZZZZZZZ_SX500_.jpg,Andrea Bartz,Fiction,"Emily is having the time of her life in the mountains of Chile with her best friend, Kristen, on their annual reunion trip, and the women are feeling closer than ever. But on the last night of the trip, Emily enters their hotel suite to find blood and broken glass on the floor. Kristen says the cute backpacker she brought back to their room attacked her, and she had no choice but to kill him in self-defense. Even more shocking: The scene is horrifyingly similar to last year's trip, when another backpacker wound up dead. Emily can't believe it's happened again?can lightning really strike twice?"
6,1984,200,FALSE,0451524934.01._SCLZZZZZZZ_SX500_.jpg,George Orwell,Fiction,"Written more than 70 years ago, 1984 was George Orwells chilling prophecy about the future. And while 1984 has come and gone, his dystopian vision of a government that will do anything to control the narrative is timelier than ever..."
7,Lord of the Flies,100,TRUE,0399501487.01._SCLZZZZZZZ_SX500_.jpg,William Golding,Fiction,"At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys. At first, with no adult supervision, their freedom is something to celebrate. This far from civilization they can do anything they want. Anything. But as order collapses, as strange howls echo in the night, as terror begins its reign, the hope of adventure seems as far removed from reality as the hope of being rescued."
8,The Four Winds,300,FALSE,1250178606.01._SCLZZZZZZZ_SX500_.jpg,Kristin Hannah,Fiction,"The Four Winds is a rich, sweeping novel that stunningly brings to life the Great Depression and the people who lived through it?the harsh realities that divided us as a nation and the enduring battle between the haves and the have-nots. A testament to hope, resilience, and the strength of the human spirit to survive adversity, The Four Winds is an indelible portrait of America and the American dream, as seen through the eyes of one indomitable woman whose courage and sacrifice will come to define a generation."
9,Project Hail Mary,200,TRUE,0593135202.01._SCLZZZZZZZ_SX500_.jpg,Andy Weir,Fiction,"Ryland Grace is the sole survivor on a desperate, last-chance mission?and if he fails, humanity and the earth itself will perish.  Except that right now, he doesn't know that. He can't even remember his own name, let alone the nature of his assignment or how to complete it.  All he knows is that he's been asleep for a very, very long time. And he's just been awakened to find himself millions of miles from home, with nothing but two corpses for company."
10,The Martian,250,FALSE,0553418025.01._SCLZZZZZZZ_SX500_.jpg,Andy Weir,Fiction,"Six days ago, astronaut Mark Watney became one of the first people to walk on Mars.  Now, he's sure he'll be the first person to die there.  After a dust storm nearly kills him and forces his crew to evacuate while thinking him dead, Mark finds himself stranded and completely alone with no way to even signal Earth that he's alive?and even if he could get word out, his supplies would be gone long before a rescue could arrive."
11,Dune,350,TRUE,0441013597.01._SCLZZZZZZZ_SX500_.jpg,Frank Herbert,Fiction,"A stunning blend of adventure and mysticism, environmentalism and politics, Dune won the first Nebula Award, shared the Hugo Award, and formed the basis of what is undoubtedly the grandest epic in science fiction."
12,Clarity & Connection,150,FALSE,1524860484.01._SCLZZZZZZZ_SX500_.jpg,Yung Pueblo,Poetry,"In Clarity & Connection, Yung Pueblo describes how intense emotions accumulate in our subconscious and condition us to act and react in certain ways. In his characteristically spare, poetic style, he guides readers through the excavation and release of the past that is required for growth."
13,The Odyssey,400,TRUE,0140268863.01._SCLZZZZZZZ_SX500_.jpg,Homer,Poetry,"If the Iliad is the world's greatest war epic, the Odyssey is literature's grandest evocation of an everyman's journey through life. Odysseus' reliance on his wit and wiliness for survival in his encounters with divine and natural forces during his ten-year voyage home to Ithaca after the Trojan War is at once a timeless human story and an individual test of moral endurance."
14,Beowulf,100,FALSE,0393356256.01._SCLZZZZZZZ_SX500_.jpg,Seamus Heaney,Poetry,"Composed toward the end of the first millennium, Beowulf is the elegiac narrative of the adventures of Beowulf, a Scandinavian hero who saves the Danes from the seemingly invincible monster Grendel and, later, from Grendel's mother. He then returns to his own country and dies in old age in a vivid fight against a dragon. The poem is about encountering the monstrous, defeating it, and then having to live on in the exhausted aftermath. In the contours of this story, at once remote and uncannily familiar at the beginning of the twenty-first century, Nobel laureate Seamus Heaney finds a resonance that summons power to the poetry from deep beneath its surface. Drawn to what he has called the ""four-squareness of the utterance"" in Beowulf and its immense emotional credibility, Heaney gives these epic qualities new and convincing reality for the contemporary reader."
